,LapTime,AvgCornerSpeed,Acceleration,LapNumber,Stint,Compound,TyreLife,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,AvgCurvature,race,racemean
0,98.272,43.817530125330755,2.2436322394019053,3.0,1.0,SOFT,3.0,23.8,27.0,1010.4,29.0,12.0,0.5,0.0,55984.50671573782,Bahrain Grand Prix,99.39628178694157
1,98.414,43.72390854339475,2.1818836247032807,4.0,1.0,SOFT,4.0,23.8,29.0,1010.4,28.7,12.0,0.4,0.0,0.0074081558033715685,Bahrain Grand Prix,99.39628178694157
2,98.471,44.77402180142691,1.8297421958063484,5.0,1.0,SOFT,5.0,23.8,33.0,1010.4,28.5,316.0,0.4,0.0,0.007798497467529833,Bahrain Grand Prix,99.39628178694157
3,98.712,45.066972803120606,2.176219497121358,6.0,1.0,SOFT,6.0,23.7,33.0,1010.4,28.3,314.0,0.2,0.0,0.007832947035506407,Bahrain Grand Prix,99.39628178694157
4,98.835,44.818783283082446,2.1037938713126336,7.0,1.0,SOFT,7.0,23.6,34.0,1010.4,28.3,37.0,0.1,0.0,0.008030714644077784,Bahrain Grand Prix,99.39628178694157
5,98.951,44.27962864384903,2.0489133357267275,8.0,1.0,SOFT,8.0,23.5,35.0,1010.4,28.1,204.0,0.3,0.0,0.007547267152556681,Bahrain Grand Prix,99.39628178694157
6,98.807,44.421926424046596,2.2849409141717416,9.0,1.0,SOFT,9.0,23.5,36.0,1010.4,28.1,339.0,0.1,0.0,0.007484048258891265,Bahrain Grand Prix,99.39628178694157
7,99.123,44.32808094098027,2.3651587565175847,10.0,1.0,SOFT,10.0,23.3,36.0,1010.2,28.0,50.0,0.2,0.0,0.007166795334098968,Bahrain Grand Prix,99.39628178694157
8,99.306,44.09300538654294,2.124839579439291,11.0,1.0,SOFT,11.0,23.3,36.0,1010.4,28.0,357.0,0.1,0.0,0.007457762241935749,Bahrain Grand Prix,99.39628178694157
9,99.256,43.476309795090074,2.320425965618852,12.0,1.0,SOFT,12.0,23.3,37.0,1010.4,27.9,258.0,0.1,0.0,0.007797432974566626,Bahrain Grand Prix,99.39628178694157
10,99.279,44.747460033448625,2.0807535967546715,13.0,1.0,SOFT,13.0,23.1,37.0,1010.4,27.8,242.0,0.2,0.0,0.007683472050895561,Bahrain Grand Prix,99.39628178694157
11,99.629,42.46997100551405,2.4139779452218413,14.0,1.0,SOFT,14.0,23.1,37.0,1010.5,27.8,8.0,0.1,0.0,0.007490141510768192,Bahrain Grand Prix,99.39628178694157
12,97.52,44.02196516063408,2.4861081269136487,17.0,2.0,SOFT,5.0,23.0,38.0,1010.5,27.8,65.0,0.1,0.0,0.007802267751597189,Bahrain Grand Prix,99.39628178694157
13,97.634,43.96404526567242,2.3611474843508224,18.0,2.0,SOFT,6.0,22.9,38.0,1010.5,27.8,1.0,0.2,0.0,0.007552486810916877,Bahrain Grand Prix,99.39628178694157
14,97.408,43.45176079360445,2.224222088794063,19.0,2.0,SOFT,7.0,22.8,38.0,1010.5,27.9,69.0,0.3,0.0,0.007881015274974874,Bahrain Grand Prix,99.39628178694157
15,97.562,46.023675936928186,1.9472618772997254,20.0,2.0,SOFT,8.0,22.7,38.0,1010.4,27.7,78.0,0.4,0.0,810.0777031411092,Bahrain Grand Prix,99.39628178694157
16,97.807,45.19183257140753,2.515250632621151,21.0,2.0,SOFT,9.0,22.7,37.0,1010.5,27.6,16.0,0.4,0.0,0.007875410630194065,Bahrain Grand Prix,99.39628178694157
17,97.752,46.89821765499427,2.2165661035690034,22.0,2.0,SOFT,10.0,22.8,37.0,1010.4,27.5,18.0,0.3,0.0,0.00778632242279693,Bahrain Grand Prix,99.39628178694157
18,97.774,45.38326325257039,2.1741424762833508,23.0,2.0,SOFT,11.0,22.8,36.0,1010.5,27.5,7.0,0.3,0.0,0.007653013582008961,Bahrain Grand Prix,99.39628178694157
19,97.913,46.077303614550694,2.415898792450513,24.0,2.0,SOFT,12.0,22.8,36.0,1010.5,27.5,40.0,0.2,0.0,0.007660125489557944,Bahrain Grand Prix,99.39628178694157
20,98.061,46.29602783332108,2.5787007180487556,25.0,2.0,SOFT,13.0,22.8,36.0,1010.5,27.4,0.0,0.2,0.0,0.007328220711495623,Bahrain Grand Prix,99.39628178694157
21,98.371,45.99922604527332,2.0118074641419113,26.0,2.0,SOFT,14.0,22.8,36.0,1010.5,27.4,22.0,0.1,0.0,0.007877419961165031,Bahrain Grand Prix,99.39628178694157
22,98.785,44.91313318830551,2.4248982108494896,27.0,2.0,SOFT,15.0,22.8,36.0,1010.5,27.4,11.0,0.3,0.0,0.0076579987836765135,Bahrain Grand Prix,99.39628178694157
23,99.051,44.792218274450654,2.3246629666648158,28.0,2.0,SOFT,16.0,22.8,36.0,1010.5,27.4,277.0,0.3,0.0,0.007646852071440524,Bahrain Grand Prix,99.39628178694157
24,98.887,45.71536452089477,2.301212252219519,29.0,2.0,SOFT,17.0,22.9,36.0,1010.5,27.4,277.0,0.3,0.0,0.007701914904373146,Bahrain Grand Prix,99.39628178694157
25,99.354,45.86107912294483,1.9908218165649414,30.0,2.0,SOFT,18.0,22.9,36.0,1010.4,27.3,6.0,0.2,0.0,0.007818570740795151,Bahrain Grand Prix,99.39628178694157
26,96.674,45.05384590114638,2.1623414784126544,33.0,3.0,MEDIUM,2.0,22.8,36.0,1010.5,27.2,9.0,0.1,0.0,0.007621775916026108,Bahrain Grand Prix,99.39628178694157
27,96.399,44.81810730081733,2.3343779786693175,34.0,3.0,MEDIUM,3.0,22.8,36.0,1010.5,27.1,317.0,0.0,0.0,0.008014259667306586,Bahrain Grand Prix,99.39628178694157
28,96.501,42.432971857198375,1.9435159527569625,35.0,3.0,MEDIUM,4.0,22.8,36.0,1010.5,27.1,0.0,0.2,0.0,0.0075499808126436975,Bahrain Grand Prix,99.39628178694157
29,96.561,43.42585595988083,2.2533820988214495,36.0,3.0,MEDIUM,5.0,22.7,36.0,1010.5,27.0,239.0,0.0,0.0,0.007761835022258626,Bahrain Grand Prix,99.39628178694157
30,96.663,44.238303758325145,2.113446121417628,37.0,3.0,MEDIUM,6.0,22.8,36.0,1010.5,27.1,49.0,0.1,0.0,0.008136201606882153,Bahrain Grand Prix,99.39628178694157
31,96.623,45.71154576850752,1.9140966394796854,38.0,3.0,MEDIUM,7.0,22.8,36.0,1010.5,27.1,317.0,0.2,0.0,7890.5824300459335,Bahrain Grand Prix,99.39628178694157
32,96.939,45.52675016835897,2.2716358787537776,39.0,3.0,MEDIUM,8.0,22.8,35.0,1010.7,27.0,54.0,0.1,0.0,0.007156891201197294,Bahrain Grand Prix,99.39628178694157
33,96.807,45.270171486150076,2.3619084561832886,40.0,3.0,MEDIUM,9.0,22.7,36.0,1010.5,26.9,7.0,0.1,0.0,0.007946383328754142,Bahrain Grand Prix,99.39628178694157
34,97.044,44.22419698306721,2.165920202396061,41.0,3.0,MEDIUM,10.0,22.7,36.0,1010.5,26.8,40.0,0.1,0.0,0.007039260962255243,Bahrain Grand Prix,99.39628178694157
35,97.04,46.386738905992495,2.011282381848805,42.0,3.0,MEDIUM,11.0,22.7,36.0,1010.5,26.9,164.0,0.2,0.0,0.007710607717592947,Bahrain Grand Prix,99.39628178694157
36,97.346,45.72584431881781,2.4424586656657965,43.0,3.0,MEDIUM,12.0,22.7,36.0,1010.5,26.9,195.0,0.1,0.0,0.007428325520870351,Bahrain Grand Prix,99.39628178694157
37,97.509,45.25949297346873,2.256460041527541,44.0,3.0,MEDIUM,13.0,22.7,36.0,1010.5,26.9,0.0,0.3,0.0,0.007788294648737706,Bahrain Grand Prix,99.39628178694157
38,97.413,45.11570214687871,2.5720821136984737,45.0,3.0,MEDIUM,14.0,22.7,36.0,1010.5,26.7,247.0,0.2,0.0,0.006896967144260251,Bahrain Grand Prix,99.39628178694157
39,94.57,46.34685313850546,2.1893869546154563,51.0,4.0,SOFT,8.0,22.4,36.0,1010.7,26.5,300.0,0.1,0.0,0.007460001044296601,Bahrain Grand Prix,99.39628178694157
40,95.027,45.23536249223802,2.1016819615697417,52.0,4.0,SOFT,9.0,22.4,37.0,1010.7,26.5,0.0,0.0,0.0,0.008410108973037227,Bahrain Grand Prix,99.39628178694157
